Order_ID,Order_Date,Ship_Date,Region,State,City,Product_Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Customer_Segment
ORD001026,2022-08-07,2022-08-12,East,NJ,Paterson,Office Supplies,Binder,Binder Model-2022,5319.11,6,0.0,1540.07,Consumer
ORD001027,2023-07-18,2023-07-21,South,NC,Greensboro,Office Supplies,Pen,Pen Model-2024,382.84,2,0.2,116.47,Corporate
ORD001028,2023-10-11,2023-10-14,East,NJ,Paterson,Technology,Desktop,Desktop Model-2023,472.22,2,0.15,162.36,Corporate
ORD001029,2022-02-20,2022-02-23,East,NJ,Paterson,Technology,Laptop,Laptop Model-2022,2175.47,7,0.0,693.87,Corporate
ORD001030,2023-10-28,2023-11-02,East,DE,Dover,Office Supplies,Clipboard,Clipboard Model-2021,4926.09,6,0.0,1080.58,Corporate
ORD001031,2022-07-06,2022-07-10,West,WA,Seattle,Technology,Monitor,Monitor Model-2020,216.28,1,0.15,60.38,VIP
ORD001032,2022-03-13,2022-03-18,South,FL,Tampa,Furniture,Chair,Chair Model-2022,802.1,3,0.0,259.66,Consumer
ORD001033,2024-11-05,2024-11-08,West,CA,San Diego,Furniture,Chair,Chair Model-2021,3082.87,7,0.1,786.21,VIP
ORD001034,2024-11-23,2024-11-30,South,FL,Tampa,Furniture,Bookshelf,Bookshelf Model-2024,410.88,1,0.0,117.74,Corporate
ORD001035,2024-06-04,2024-06-07,North,PA,Philadelphia,Office Supplies,Binder,Binder Model-2021,5964.9,4,0.1,1100.24,One-time Buyer
ORD001036,2022-11-30,2022-12-05,North,NY,New York,Technology,Keyboard,Keyboard Model-2023,252.85,1,0.0,79.19,Corporate
ORD001037,2022-04-17,2022-04-22,South,FL,Orlando,Furniture,Chair,Chair Model-2021,755.8,6,0.15,227.87,Corporate
ORD001038,2024-01-20,2024-01-26,South,FL,Tampa,Office Supplies,Notebook,Notebook Model-2022,1468.0,3,0.0,481.18,One-time Buyer
ORD001039,2023-04-27,2023-05-04,South,NC,Raleigh,Technology,Monitor,Monitor Model-2020,1151.34,6,0.05,336.23,Corporate
ORD001040,2022-05-14,2022-05-19,South,FL,Tampa,Technology,Desktop,Desktop Model-2022,2091.33,6,0.05,680.48,Corporate
ORD001041,2023-06-27,2023-07-01,East,CT,Bridgeport,Furniture,Desk,Desk Model-2022,1354.17,7,0.05,247.06,Consumer
ORD001042,2022-02-07,2022-02-10,West,CO,Denver,Technology,Keyboard,Keyboard Model-2020,1164.19,1,0.0,364.08,Consumer
ORD001043,2024-09-22,2024-09-26,East,NJ,Jersey City,Technology,Laptop,Laptop Model-2023,850.27,3,0.05,289.6,Corporate
ORD001044,2022-10-11,2022-10-16,West,CA,Los Angeles,Furniture,Chair,Chair Model-2022,845.53,1,0.0,264.74,Corporate
ORD001045,2023-12-27,2024-01-01,West,OR,Portland,Furniture,Desk,Desk Model-2020,1346.48,1,0.15,367.65,Corporate
ORD001046,2022-12-08,2022-12-12,West,CO,Colorado Springs,Technology,Desktop,Desktop Model-2020,3022.63,2,0.0,1013.49,Consumer
ORD001047,2023-07-24,2023-07-28,East,NJ,Newark,Office Supplies,Notebook,Notebook Model-2022,849.62,2,0.1,143.5,Corporate
ORD001048,2023-08-22,2023-08-28,South,FL,Tampa,Office Supplies,Notebook,Notebook Model-2020,4075.18,2,0.05,625.02,Corporate
ORD001049,2022-07-22,2022-07-25,East,CT,New Haven,Furniture,Table,Table Model-2024,4434.26,7,0.0,1521.24,Corporate
ORD001050,2024-11-27,2024-12-01,East,CT,Hartford,Technology,Printer,Printer Model-2022,506.29,3,0.0,145.1,One-time Buyer
ORD001051,2024-04-28,2024-05-01,West,OR,Eugene,Furniture,Desk,Desk Model-2023,4785.26,5,0.2,827.05,One-time Buyer
ORD001052,2024-10-25,2024-11-01,North,NY,New York,Office Supplies,Paper,Paper Model-2024,2081.02,5,0.0,453.67,Consumer
ORD001053,2024-09-06,2024-09-11,North,OH,Cincinnati,Office Supplies,Clipboard,Clipboard Model-2023,1151.94,7,0.1,345.31,One-time Buyer
ORD001054,2023-10-17,2023-10-21,East,NJ,Jersey City,Technology,Keyboard,Keyboard Model-2022,6186.04,7,0.0,1856.29,Corporate
ORD001055,2024-10-06,2024-10-13,West,CO,Fort Collins,Furniture,Cabinet,Cabinet Model-2021,2505.88,5,0.15,461.08,Corporate
ORD001056,2022-04-07,2022-04-12,East,MD,Baltimore,Furniture,Table,Table Model-2020,5260.72,5,0.1,1283.77,Consumer
ORD001057,2022-08-03,2022-08-09,East,NJ,Jersey City,Office Supplies,Binder,Binder Model-2024,2494.32,3,0.15,776.89,Corporate
ORD001058,2022-02-19,2022-02-24,South,FL,Miami,Furniture,Desk,Desk Model-2022,497.95,2,0.15,170.98,Consumer
ORD001059,2022-12-23,2022-12-27,West,WA,Vancouver,Furniture,Table,Table Model-2020,1649.66,7,0.05,452.85,Corporate
ORD001060,2023-03-02,2023-03-09,North,OH,Cleveland,Furniture,Chair,Chair Model-2021,1523.61,2,0.0,422.99,Consumer
ORD001061,2022-10-25,2022-11-01,North,MA,Springfield,Technology,Monitor,Monitor Model-2023,1051.7,2,0.0,256.48,Consumer
ORD001062,2024-06-26,2024-07-03,North,PA,Allentown,Office Supplies,Binder,Binder Model-2022,408.65,3,0.0,105.35,Consumer
ORD001063,2023-01-26,2023-01-31,East,DE,Dover,Furniture,Desk,Desk Model-2022,200.23,1,0.0,34.0,Consumer
ORD001064,2022-11-04,2022-11-07,West,CO,Fort Collins,Technology,Keyboard,Keyboard Model-2021,728.22,4,0.0,160.15,Consumer
ORD001065,2023-08-18,2023-08-21,South,FL,Miami,Furniture,Cabinet,Cabinet Model-2023,2782.31,6,0.15,699.64,Corporate
ORD001066,2022-06-04,2022-06-09,North,OH,Cincinnati,Furniture,Cabinet,Cabinet Model-2022,434.5,3,0.0,89.07,Consumer
ORD001067,2024-05-28,2024-06-01,West,OR,Portland,Office Supplies,Notebook,Notebook Model-2020,1298.45,6,0.0,288.21,Corporate
ORD001068,2022-03-23,2022-03-28,North,PA,Philadelphia,Technology,Monitor,Monitor Model-2021,2816.61,6,0.05,969.59,Consumer
ORD001069,2024-12-16,2024-12-19,South,GA,Savannah,Furniture,Bookshelf,Bookshelf Model-2022,145.68,1,0.15,22.0,VIP
ORD001070,2024-04-25,2024-04-30,West,CA,Los Angeles,Office Supplies,Binder,Binder Model-2023,1456.14,6,0.0,306.56,VIP
ORD001071,2022-08-06,2022-08-13,East,DE,Dover,Technology,Keyboard,Keyboard Model-2024,9005.19,7,0.0,2402.5,Consumer
ORD001072,2022-01-07,2022-01-11,East,CT,Bridgeport,Furniture,Chair,Chair Model-2022,1394.41,2,0.0,286.96,Corporate
ORD001073,2024-06-11,2024-06-15,North,NY,New York,Office Supplies,Notebook,Notebook Model-2023,1982.94,7,0.0,565.72,Consumer
ORD001074,2024-02-14,2024-02-20,North,PA,Philadelphia,Furniture,Table,Table Model-2021,2183.54,2,0.05,458.23,VIP
ORD001075,2024-03-09,2024-03-14,West,WA,Tacoma,Furniture,Bookshelf,Bookshelf Model-2023,1159.15,5,0.05,321.83,Corporate
ORD001076,2024-04-24,2024-05-01,South,GA,Columbus,Technology,Desktop,Desktop Model-2023,2451.07,5,0.1,784.28,Consumer
ORD001077,2022-03-23,2022-03-28,North,MA,Worcester,Office Supplies,Notebook,Notebook Model-2021,1682.1,6,0.15,473.9,Consumer
ORD001078,2023-01-28,2023-02-03,West,WA,Vancouver,Technology,Printer,Printer Model-2024,677.84,1,0.15,108.44,Consumer
ORD001079,2022-05-07,2022-05-13,South,GA,Columbus,Furniture,Cabinet,Cabinet Model-2020,1262.66,4,0.05,390.22,Corporate
ORD001080,2024-08-03,2024-08-08,North,PA,Philadelphia,Office Supplies,Paper,Paper Model-2024,1458.5,6,0.0,280.85,Corporate
ORD001081,2023-11-14,2023-11-19,North,NY,Buffalo,Furniture,Chair,Chair Model-2020,3407.22,6,0.0,943.66,Corporate
ORD001082,2022-12-29,2023-01-03,West,OR,Eugene,Furniture,Bookshelf,Bookshelf Model-2020,744.72,1,0.05,208.04,Corporate
ORD001083,2022-03-11,2022-03-14,North,MA,Boston,Furniture,Table,Table Model-2020,411.68,1,0.15,127.93,Consumer
ORD001084,2022-12-07,2022-12-13,East,MD,Gaithersburg,Office Supplies,Notebook,Notebook Model-2022,4160.42,6,0.05,1044.95,Consumer
ORD001085,2022-12-23,2022-12-27,South,TX,Dallas,Furniture,Desk,Desk Model-2024,2225.92,7,0.15,501.26,Consumer
ORD001086,2024-03-09,2024-03-12,South,FL,Orlando,Office Supplies,Pen,Pen Model-2023,6254.23,7,0.0,1586.11,One-time Buyer
ORD001087,2023-11-30,2023-12-07,East,CT,Hartford,Furniture,Cabinet,Cabinet Model-2022,2159.07,4,0.0,559.53,Consumer
ORD001088,2024-08-29,2024-09-02,West,CO,Fort Collins,Technology,Mouse,Mouse Model-2021,188.31,1,0.1,59.19,Corporate
ORD001089,2023-06-02,2023-06-06,East,DE,Wilmington,Office Supplies,Binder,Binder Model-2021,1026.01,1,0.15,195.98,Consumer
ORD001090,2022-05-11,2022-05-15,East,CT,Hartford,Furniture,Chair,Chair Model-2020,3019.39,3,0.0,964.29,Consumer
ORD001091,2024-02-21,2024-02-27,South,NC,Greensboro,Technology,Monitor,Monitor Model-2022,12326.3,7,0.0,2750.51,Corporate
ORD001092,2024-04-13,2024-04-20,West,CO,Denver,Office Supplies,Notebook,Notebook Model-2022,2083.33,4,0.0,622.44,Corporate
ORD001093,2023-09-07,2023-09-10,North,PA,Allentown,Technology,Keyboard,Keyboard Model-2021,1326.21,2,0.0,287.98,Corporate
ORD001094,2024-04-24,2024-05-01,East,MD,Gaithersburg,Furniture,Chair,Chair Model-2023,5480.03,5,0.0,1598.95,Corporate
ORD001095,2023-06-25,2023-06-28,East,MD,Baltimore,Technology,Keyboard,Keyboard Model-2024,254.02,2,0.0,78.7,Corporate
ORD001096,2023-07-27,2023-08-02,West,CO,Denver,Furniture,Table,Table Model-2024,7898.24,6,0.0,2066.28,Consumer
ORD001097,2023-04-14,2023-04-21,East,MD,Frederick,Furniture,Desk,Desk Model-2020,1807.07,7,0.0,494.97,Corporate
ORD001098,2022-01-28,2022-02-01,West,CO,Colorado Springs,Office Supplies,Pen,Pen Model-2020,258.74,2,0.0,75.44,Corporate
ORD001099,2022-04-29,2022-05-06,North,OH,Cleveland,Furniture,Table,Table Model-2020,1119.32,5,0.05,322.01,Consumer
ORD001100,2022-02-04,2022-02-10,West,WA,Vancouver,Furniture,Desk,Desk Model-2021,2571.55,5,0.05,759.85,Corporate
ORD001101,2023-11-28,2023-12-04,North,NY,Albany,Office Supplies,Binder,Binder Model-2021,124.51,1,0.0,39.84,Consumer
ORD001102,2022-12-11,2022-12-17,West,OR,Salem,Office Supplies,Notebook,Notebook Model-2024,401.53,4,0.0,77.94,Consumer
ORD001103,2023-07-11,2023-07-14,East,NJ,Newark,Furniture,Table,Table Model-2020,3659.65,6,0.0,706.12,Corporate
ORD001104,2024-09-20,2024-09-27,North,PA,Allentown,Furniture,Bookshelf,Bookshelf Model-2022,2412.04,6,0.0,830.07,One-time Buyer
ORD001105,2022-09-30,2022-10-04,East,NJ,Jersey City,Office Supplies,Paper,Paper Model-2023,5150.05,5,0.0,1649.38,One-time Buyer
ORD001106,2023-03-26,2023-03-30,North,PA,Philadelphia,Office Supplies,Binder,Binder Model-2021,995.59,4,0.0,267.16,Consumer
ORD001107,2024-04-07,2024-04-12,West,CO,Denver,Technology,Laptop,Laptop Model-2020,1853.21,7,0.0,281.01,Corporate
ORD001108,2022-09-08,2022-09-14,West,CA,Los Angeles,Technology,Laptop,Laptop Model-2020,884.26,7,0.1,283.8,Corporate
ORD001109,2022-03-26,2022-03-30,West,CA,San Francisco,Technology,Mouse,Mouse Model-2021,389.32,1,0.2,116.92,Consumer
ORD001110,2022-11-14,2022-11-20,South,GA,Columbus,Office Supplies,Paper,Paper Model-2024,1671.67,6,0.15,570.5,One-time Buyer
ORD001111,2022-06-26,2022-06-30,South,GA,Columbus,Office Supplies,Binder,Binder Model-2024,1660.7,6,0.1,253.48,Corporate
ORD001112,2024-10-15,2024-10-22,North,MA,Boston,Office Supplies,Notebook,Notebook Model-2024,730.63,2,0.1,113.76,VIP
ORD001113,2024-06-03,2024-06-08,South,NC,Charlotte,Technology,Keyboard,Keyboard Model-2024,5342.35,6,0.15,1354.23,Consumer
ORD001114,2023-11-25,2023-12-01,West,CO,Fort Collins,Furniture,Chair,Chair Model-2022,700.07,5,0.1,224.87,Consumer
ORD001115,2024-08-12,2024-08-15,South,FL,Orlando,Furniture,Cabinet,Cabinet Model-2020,2824.45,6,0.0,983.65,One-time Buyer
ORD001116,2024-05-30,2024-06-02,South,GA,Columbus,Furniture,Bookshelf,Bookshelf Model-2024,994.41,5,0.05,212.81,Corporate
ORD001117,2022-07-24,2022-07-28,East,MD,Baltimore,Office Supplies,Clipboard,Clipboard Model-2024,219.38,1,0.0,34.5,One-time Buyer
ORD001118,2024-09-04,2024-09-11,North,PA,Allentown,Furniture,Table,Table Model-2023,993.41,4,0.0,187.86,Consumer
ORD001119,2023-08-14,2023-08-20,North,OH,Cleveland,Furniture,Table,Table Model-2023,1630.16,4,0.0,530.46,Corporate
ORD001120,2024-06-03,2024-06-08,North,NY,Buffalo,Office Supplies,Binder,Binder Model-2020,2646.03,6,0.0,643.75,Corporate
ORD001121,2024-09-08,2024-09-15,South,TX,Austin,Office Supplies,Paper,Paper Model-2021,3040.08,3,0.1,974.84,Consumer
ORD001122,2022-12-15,2022-12-19,West,CO,Colorado Springs,Office Supplies,Binder,Binder Model-2024,2062.66,2,0.15,492.53,Corporate
ORD001123,2022-05-01,2022-05-08,East,MD,Baltimore,Office Supplies,Paper,Paper Model-2022,1300.19,3,0.2,208.91,Corporate
ORD001124,2022-09-07,2022-09-12,North,OH,Cleveland,Office Supplies,Paper,Paper Model-2023,1060.91,4,0.0,290.17,Consumer
ORD001125,2023-04-13,2023-04-20,South,FL,Miami,Technology,Printer,Printer Model-2024,2287.38,3,0.2,542.42,Consumer
ORD001126,2024-06-14,2024-06-20,West,CO,Denver,Office Supplies,Notebook,Notebook Model-2021,3194.04,4,0.1,792.99,Corporate
ORD001127,2024-07-31,2024-08-04,East,CT,Hartford,Furniture,Desk,Desk Model-2022,4498.14,5,0.0,1528.44,Corporate
ORD001128,2022-01-08,2022-01-13,East,CT,Hartford,Furniture,Desk,Desk Model-2023,719.87,7,0.05,173.79,One-time Buyer
ORD001129,2023-07-14,2023-07-18,North,NY,Albany,Technology,Keyboard,Keyboard Model-2021,5606.55,7,0.0,1734.14,Consumer
ORD001130,2023-04-03,2023-04-09,North,OH,Cleveland,Office Supplies,Paper,Paper Model-2021,1057.71,1,0.0,171.12,Consumer
ORD001131,2022-09-01,2022-09-06,West,CA,San Diego,Furniture,Chair,Chair Model-2022,3217.52,6,0.05,790.89,VIP
ORD001132,2022-05-12,2022-05-17,South,TX,Austin,Furniture,Cabinet,Cabinet Model-2022,2267.58,3,0.05,606.21,VIP
ORD001133,2023-01-05,2023-01-09,West,WA,Tacoma,Office Supplies,Clipboard,Clipboard Model-2023,5090.61,6,0.0,878.87,Consumer
ORD001134,2024-10-29,2024-11-05,North,PA,Allentown,Technology,Monitor,Monitor Model-2022,1926.1,5,0.15,405.34,One-time Buyer
ORD001135,2022-12-20,2022-12-27,West,WA,Tacoma,Office Supplies,Binder,Binder Model-2024,6250.91,7,0.05,1862.26,Consumer
ORD001136,2023-07-23,2023-07-26,South,TX,Dallas,Office Supplies,Notebook,Notebook Model-2022,4429.04,5,0.0,827.26,Consumer
ORD001137,2024-02-09,2024-02-12,East,CT,Bridgeport,Office Supplies,Notebook,Notebook Model-2021,1205.18,1,0.1,211.74,Consumer
ORD001138,2023-02-03,2023-02-08,East,CT,Bridgeport,Office Supplies,Binder,Binder Model-2022,1371.52,1,0.0,287.82,Consumer
ORD001139,2024-11-30,2024-12-04,East,CT,Hartford,Office Supplies,Clipboard,Clipboard Model-2023,3340.45,7,0.0,1074.93,One-time Buyer
ORD001140,2024-11-19,2024-11-24,East,MD,Frederick,Technology,Monitor,Monitor Model-2024,522.0,5,0.1,157.95,Corporate
ORD001141,2022-10-03,2022-10-07,North,MA,Boston,Furniture,Desk,Desk Model-2022,657.88,6,0.0,200.89,VIP
ORD001142,2023-06-29,2023-07-05,North,NY,New York,Office Supplies,Pen,Pen Model-2024,7489.2,5,0.0,1606.37,Corporate
ORD001143,2022-11-26,2022-11-29,South,FL,Miami,Furniture,Desk,Desk Model-2022,825.56,3,0.1,140.17,Corporate
ORD001144,2022-11-08,2022-11-13,South,NC,Charlotte,Furniture,Chair,Chair Model-2024,960.54,3,0.05,150.22,Corporate
ORD001145,2022-02-10,2022-02-16,South,TX,Austin,Office Supplies,Binder,Binder Model-2022,2921.47,7,0.0,780.73,VIP
ORD001146,2023-10-30,2023-11-06,South,FL,Miami,Furniture,Table,Table Model-2022,458.08,2,0.1,133.05,Corporate
ORD001147,2023-07-05,2023-07-08,West,CA,San Diego,Office Supplies,Paper,Paper Model-2020,3250.51,7,0.15,733.24,One-time Buyer
ORD001148,2022-02-26,2022-03-02,South,NC,Raleigh,Office Supplies,Notebook,Notebook Model-2021,1561.82,2,0.1,399.47,VIP
ORD001149,2022-11-02,2022-11-09,East,DE,Milford,Office Supplies,Binder,Binder Model-2023,1057.23,5,0.15,217.58,Consumer
ORD001150,2024-09-21,2024-09-28,East,MD,Baltimore,Technology,Laptop,Laptop Model-2023,1558.92,2,0.0,347.42,Corporate
ORD001151,2022-09-20,2022-09-26,East,MD,Frederick,Office Supplies,Paper,Paper Model-2020,3287.0,5,0.0,972.83,One-time Buyer
ORD001152,2022-06-08,2022-06-13,West,CA,San Francisco,Office Supplies,Notebook,Notebook Model-2022,472.83,1,0.0,138.84,VIP
ORD001153,2023-06-20,2023-06-25,South,TX,Austin,Furniture,Chair,Chair Model-2021,267.16,1,0.1,41.57,Consumer
ORD001154,2024-12-15,2024-12-21,East,DE,Dover,Technology,Laptop,Laptop Model-2024,2883.79,3,0.15,977.16,Corporate
ORD001155,2022-09-23,2022-09-30,East,DE,Milford,Furniture,Desk,Desk Model-2020,1824.52,6,0.15,371.84,Corporate
ORD001156,2024-01-06,2024-01-09,East,DE,Dover,Furniture,Cabinet,Cabinet Model-2023,1338.93,4,0.0,443.88,Consumer
ORD001157,2024-04-13,2024-04-20,East,MD,Gaithersburg,Office Supplies,Notebook,Notebook Model-2023,4074.68,7,0.05,1028.37,Corporate
ORD001158,2022-09-18,2022-09-24,North,OH,Columbus,Technology,Printer,Printer Model-2023,7643.67,7,0.2,1909.67,Consumer
ORD001159,2024-03-08,2024-03-15,South,GA,Savannah,Technology,Keyboard,Keyboard Model-2022,2727.94,6,0.0,655.04,Consumer
ORD001160,2023-02-07,2023-02-14,South,GA,Savannah,Office Supplies,Binder,Binder Model-2024,3521.23,5,0.05,1177.8,Corporate
ORD001161,2023-11-24,2023-12-01,West,OR,Portland,Technology,Printer,Printer Model-2024,2066.6,6,0.15,396.01,Corporate
ORD001162,2023-11-25,2023-12-02,North,MA,Springfield,Office Supplies,Notebook,Notebook Model-2024,569.84,3,0.15,155.18,Corporate
ORD001163,2023-08-10,2023-08-13,West,WA,Vancouver,Technology,Monitor,Monitor Model-2022,332.33,2,0.0,70.97,Corporate
ORD001164,2022-04-09,2022-04-13,East,DE,Dover,Technology,Mouse,Mouse Model-2023,866.4,5,0.0,288.55,Consumer
ORD001165,2024-07-03,2024-07-07,West,CO,Fort Collins,Office Supplies,Binder,Binder Model-2023,315.72,3,0.05,58.05,Consumer
ORD001166,2022-12-18,2022-12-23,East,NJ,Jersey City,Technology,Monitor,Monitor Model-2022,854.23,2,0.15,243.66,Consumer
ORD001167,2022-07-24,2022-07-28,East,MD,Baltimore,Technology,Printer,Printer Model-2021,808.77,5,0.05,189.54,Consumer
ORD001168,2022-02-14,2022-02-18,South,TX,Dallas,Technology,Printer,Printer Model-2022,3311.5,3,0.0,934.65,Corporate
ORD001169,2023-10-10,2023-10-14,South,GA,Columbus,Furniture,Cabinet,Cabinet Model-2022,7256.5,4,0.15,1317.21,One-time Buyer
ORD001170,2024-01-12,2024-01-19,South,FL,Miami,Office Supplies,Clipboard,Clipboard Model-2023,1327.38,3,0.0,303.61,Consumer
ORD001171,2022-01-19,2022-01-26,South,FL,Tampa,Furniture,Chair,Chair Model-2024,1893.46,5,0.05,324.64,Consumer
ORD001172,2023-07-15,2023-07-18,South,TX,Houston,Technology,Desktop,Desktop Model-2023,627.82,2,0.0,215.82,Corporate
ORD001173,2022-09-06,2022-09-13,North,PA,Allentown,Technology,Desktop,Desktop Model-2021,3040.46,5,0.0,586.2,Consumer
ORD001174,2023-12-08,2023-12-15,South,FL,Orlando,Furniture,Chair,Chair Model-2020,3977.97,7,0.0,1386.9,VIP
ORD001175,2022-07-10,2022-07-14,West,OR,Eugene,Technology,Desktop,Desktop Model-2020,1551.63,5,0.0,362.62,Corporate
ORD001176,2024-01-27,2024-01-30,East,DE,Milford,Technology,Laptop,Laptop Model-2022,790.91,3,0.15,129.95,Consumer
ORD001177,2023-02-28,2023-03-03,South,TX,Houston,Office Supplies,Paper,Paper Model-2020,3087.71,5,0.0,474.01,Consumer
ORD001178,2024-10-22,2024-10-26,North,PA,Allentown,Technology,Printer,Printer Model-2024,3025.99,6,0.0,816.39,Corporate
ORD001179,2022-05-31,2022-06-04,West,OR,Portland,Office Supplies,Pen,Pen Model-2023,697.21,1,0.05,190.3,Consumer
ORD001180,2023-01-09,2023-01-12,West,CA,San Diego,Office Supplies,Paper,Paper Model-2021,10097.66,7,0.05,2574.49,Consumer
ORD001181,2022-05-05,2022-05-11,East,CT,New Haven,Furniture,Desk,Desk Model-2021,3253.32,4,0.05,531.2,Consumer
ORD001182,2024-10-09,2024-10-13,West,CO,Fort Collins,Furniture,Cabinet,Cabinet Model-2021,562.9,2,0.0,121.76,One-time Buyer
ORD001183,2024-08-18,2024-08-22,West,OR,Salem,Technology,Printer,Printer Model-2023,3246.93,4,0.0,720.22,Corporate
ORD001184,2022-10-10,2022-10-13,West,CA,San Diego,Furniture,Desk,Desk Model-2024,2792.59,7,0.0,812.54,Consumer
ORD001185,2023-12-24,2023-12-30,West,WA,Seattle,Office Supplies,Pen,Pen Model-2021,5110.59,6,0.0,1194.71,Corporate
ORD001186,2024-06-13,2024-06-19,North,PA,Philadelphia,Furniture,Cabinet,Cabinet Model-2020,7070.33,7,0.15,1870.76,Corporate
ORD001187,2023-08-31,2023-09-05,East,MD,Frederick,Office Supplies,Binder,Binder Model-2024,694.83,3,0.05,144.01,Corporate
ORD001188,2023-08-03,2023-08-09,South,FL,Miami,Furniture,Desk,Desk Model-2024,708.98,3,0.0,209.29,Consumer
ORD001189,2022-09-22,2022-09-26,West,CA,San Diego,Technology,Laptop,Laptop Model-2024,2300.2,6,0.0,366.54,Corporate
ORD001190,2022-04-12,2022-04-19,North,PA,Allentown,Furniture,Table,Table Model-2021,840.92,7,0.05,292.39,VIP
ORD001191,2024-09-09,2024-09-12,East,NJ,Newark,Technology,Keyboard,Keyboard Model-2024,678.68,1,0.0,188.88,Consumer
ORD001192,2024-09-12,2024-09-16,South,NC,Greensboro,Furniture,Desk,Desk Model-2021,2139.88,3,0.1,384.69,Consumer
ORD001193,2023-11-25,2023-11-28,East,MD,Frederick,Office Supplies,Notebook,Notebook Model-2020,2183.22,7,0.0,640.77,Consumer
ORD001194,2023-01-07,2023-01-13,North,NY,Buffalo,Furniture,Cabinet,Cabinet Model-2020,2478.07,6,0.0,761.54,Consumer
ORD001195,2023-01-18,2023-01-21,North,PA,Philadelphia,Furniture,Chair,Chair Model-2020,1392.9,3,,428.62,Corporate
ORD001196,2024-03-05,2024-03-09,North,NY,New York,Office Supplies,Paper,Paper Model-2020,967.56,7,0.0,197.52,One-time Buyer
