Order_ID,Order_Date,Ship_Date,Region,State,City,Product_Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Customer_Segment,Shipping_Days,Year,Month,Quarter,Week,DayOfWeek,Year_Month,Profit_Margin_Pct,Unit_Price,Profit_Per_Unit,Margin_Category,Customer_Size_Segment,Order_Value_Category,Discount_Impact
ORD001012,2024-06-30,2024-07-05,North,NY,Albany,Furniture,Chair,Chair Model-2022,2496.47,4,0.0,446.14,VIP,5,2024,6,2,26,Sunday,2024-06,17.87,624.12,111.54,Medium (10-20%),Enterprise,Mid Range,0.0
ORD001013,2022-08-21,2022-08-26,South,NC,Charlotte,Office Supplies,Notebook,Notebook Model-2023,3114.35,4,0.2,869.42,Corporate,5,2022,8,3,33,Sunday,2022-08,27.92,778.59,217.36,Good (20-30%),Enterprise,High Value,622.87
ORD001014,2022-07-19,2022-07-25,North,OH,Cincinnati,Office Supplies,Notebook,Notebook Model-2020,528.46,3,0.05,136.89,One-time Buyer,6,2022,7,3,29,Tuesday,2022-07,25.9,176.15,45.63,Good (20-30%),Mid-Market,Low Value,26.423000000000002
ORD001015,2022-07-20,2022-07-24,East,NJ,Jersey City,Office Supplies,Notebook,Notebook Model-2024,4982.06,7,0.0,814.89,One-time Buyer,4,2022,7,3,29,Wednesday,2022-07,16.36,711.72,116.41,Medium (10-20%),Enterprise,High Value,0.0
ORD001016,2022-11-30,2022-12-03,West,WA,Seattle,Furniture,Table,Table Model-2021,406.05,3,0.0,132.6,Corporate,3,2022,11,4,48,Wednesday,2022-11,32.66,135.35,44.2,Excellent (30%+),SMB,Low Value,0.0
ORD001017,2023-07-29,2023-08-03,West,WA,Seattle,Office Supplies,Binder,Binder Model-2022,176.78,2,0.15,44.47,Corporate,5,2023,7,3,30,Saturday,2023-07,25.16,88.39,22.24,Good (20-30%),SMB,Low Value,26.517
ORD001018,2023-04-18,2023-04-21,West,WA,Seattle,Technology,Printer,Printer Model-2024,297.3,3,0.15,64.53,Consumer,3,2023,4,2,16,Tuesday,2023-04,21.71,99.1,21.51,Good (20-30%),SMB,Low Value,44.595
ORD001019,2022-11-15,2022-11-18,North,OH,Columbus,Furniture,Chair,Chair Model-2020,2396.65,5,0.2,733.07,Corporate,3,2022,11,4,46,Tuesday,2022-11,30.59,479.33,146.61,Excellent (30%+),Enterprise,Mid Range,479.33000000000004
ORD001020,2023-11-01,2023-11-05,East,NJ,Newark,Office Supplies,Clipboard,Clipboard Model-2024,8129.01,5,0.15,1401.59,Consumer,4,2023,11,4,44,Wednesday,2023-11,17.24,1625.8,280.32,Medium (10-20%),Enterprise,High Value,1219.3515
ORD001021,2022-06-02,2022-06-05,South,FL,Orlando,Furniture,Chair,Chair Model-2024,4189.15,5,0.0,1025.32,One-time Buyer,3,2022,6,2,22,Thursday,2022-06,24.48,837.83,205.06,Good (20-30%),Enterprise,High Value,0.0
ORD001022,2022-11-16,2022-11-20,West,OR,Salem,Furniture,Bookshelf,Bookshelf Model-2021,1727.52,7,0.0,448.73,Consumer,4,2022,11,4,46,Wednesday,2022-11,25.98,246.79,64.1,Good (20-30%),Mid-Market,Mid Range,0.0
ORD001023,2023-02-06,2023-02-10,North,MA,Boston,Technology,Keyboard,Keyboard Model-2020,391.0,3,0.05,119.26,One-time Buyer,4,2023,2,1,6,Monday,2023-02,30.5,130.33,39.75,Excellent (30%+),SMB,Low Value,19.55
ORD001024,2023-05-15,2023-05-18,West,CA,San Diego,Technology,Monitor,Monitor Model-2020,521.47,1,0.1,116.83,Consumer,3,2023,5,2,20,Monday,2023-05,22.4,521.47,116.83,Good (20-30%),Mid-Market,Low Value,52.147000000000006
ORD001025,2024-05-09,2024-05-12,South,NC,Charlotte,Technology,Printer,Printer Model-2024,203.23,2,0.0,65.24,One-time Buyer,3,2024,5,2,19,Thursday,2024-05,32.1,101.62,32.62,Excellent (30%+),SMB,Low Value,0.0
ORD001026,2022-08-07,2022-08-12,East,NJ,Paterson,Office Supplies,Binder,Binder Model-2022,5319.11,6,0.0,1540.07,Consumer,5,2022,8,3,31,Sunday,2022-08,28.95,886.52,256.68,Good (20-30%),Enterprise,High Value,0.0
ORD001027,2023-07-18,2023-07-21,South,NC,Greensboro,Office Supplies,Pen,Pen Model-2024,382.84,2,0.2,116.47,Corporate,3,2023,7,3,29,Tuesday,2023-07,30.42,191.42,58.24,Excellent (30%+),SMB,Low Value,76.568
ORD001028,2023-10-11,2023-10-14,East,NJ,Paterson,Technology,Desktop,Desktop Model-2023,472.22,2,0.15,162.36,Corporate,3,2023,10,4,41,Wednesday,2023-10,34.38,236.11,81.18,Excellent (30%+),SMB,Low Value,70.833
ORD001029,2022-02-20,2022-02-23,East,NJ,Paterson,Technology,Laptop,Laptop Model-2022,2175.47,7,0.0,693.87,Corporate,3,2022,2,1,7,Sunday,2022-02,31.9,310.78,99.12,Excellent (30%+),Enterprise,Mid Range,0.0
ORD001030,2023-10-28,2023-11-02,East,DE,Dover,Office Supplies,Clipboard,Clipboard Model-2021,4926.09,6,0.0,1080.58,Corporate,5,2023,10,4,43,Saturday,2023-10,21.94,821.02,180.1,Good (20-30%),Enterprise,High Value,0.0
ORD001031,2022-07-06,2022-07-10,West,WA,Seattle,Technology,Monitor,Monitor Model-2020,216.28,1,0.15,60.38,VIP,4,2022,7,3,27,Wednesday,2022-07,27.92,216.28,60.38,Good (20-30%),SMB,Low Value,32.442
ORD001032,2022-03-13,2022-03-18,South,FL,Tampa,Furniture,Chair,Chair Model-2022,802.1,3,0.0,259.66,Consumer,5,2022,3,1,10,Sunday,2022-03,32.37,267.37,86.55,Excellent (30%+),Mid-Market,Mid Range,0.0
ORD001033,2024-11-05,2024-11-08,West,CA,San Diego,Furniture,Chair,Chair Model-2021,3082.87,7,0.1,786.21,VIP,3,2024,11,4,45,Tuesday,2024-11,25.5,440.41,112.32,Good (20-30%),Enterprise,High Value,308.28700000000003
ORD001034,2024-11-23,2024-11-30,South,FL,Tampa,Furniture,Bookshelf,Bookshelf Model-2024,410.88,1,0.0,117.74,Corporate,7,2024,11,4,47,Saturday,2024-11,28.66,410.88,117.74,Good (20-30%),SMB,Low Value,0.0
ORD001035,2024-06-04,2024-06-07,North,PA,Philadelphia,Office Supplies,Binder,Binder Model-2021,5964.9,4,0.1,1100.24,One-time Buyer,3,2024,6,2,23,Tuesday,2024-06,18.45,1491.22,275.06,Medium (10-20%),Enterprise,High Value,596.49
ORD001036,2022-11-30,2022-12-05,North,NY,New York,Technology,Keyboard,Keyboard Model-2023,252.85,1,0.0,79.19,Corporate,5,2022,11,4,48,Wednesday,2022-11,31.32,252.85,79.19,Excellent (30%+),SMB,Low Value,0.0
ORD001037,2022-04-17,2022-04-22,South,FL,Orlando,Furniture,Chair,Chair Model-2021,755.8,6,0.15,227.87,Corporate,5,2022,4,2,15,Sunday,2022-04,30.15,125.97,37.98,Excellent (30%+),Mid-Market,Mid Range,113.36999999999999
ORD001038,2024-01-20,2024-01-26,South,FL,Tampa,Office Supplies,Notebook,Notebook Model-2022,1468.0,3,0.0,481.18,One-time Buyer,6,2024,1,1,3,Saturday,2024-01,32.78,489.33,160.39,Excellent (30%+),Mid-Market,Mid Range,0.0
ORD001039,2023-04-27,2023-05-04,South,NC,Raleigh,Technology,Monitor,Monitor Model-2020,1151.34,6,0.05,336.23,Corporate,7,2023,4,2,17,Thursday,2023-04,29.2,191.89,56.04,Good (20-30%),Mid-Market,Mid Range,57.567
ORD001040,2022-05-14,2022-05-19,South,FL,Tampa,Technology,Desktop,Desktop Model-2022,2091.33,6,0.05,680.48,Corporate,5,2022,5,2,19,Saturday,2022-05,32.54,348.56,113.41,Excellent (30%+),Enterprise,Mid Range,104.5665
ORD001041,2023-06-27,2023-07-01,East,CT,Bridgeport,Furniture,Desk,Desk Model-2022,1354.17,7,0.05,247.06,Consumer,4,2023,6,2,26,Tuesday,2023-06,18.24,193.45,35.29,Medium (10-20%),Mid-Market,Mid Range,67.7085
ORD001042,2022-02-07,2022-02-10,West,CO,Denver,Technology,Keyboard,Keyboard Model-2020,1164.19,1,0.0,364.08,Consumer,3,2022,2,1,6,Monday,2022-02,31.27,1164.19,364.08,Excellent (30%+),Mid-Market,Mid Range,0.0
ORD001043,2024-09-22,2024-09-26,East,NJ,Jersey City,Technology,Laptop,Laptop Model-2023,850.27,3,0.05,289.6,Corporate,4,2024,9,3,38,Sunday,2024-09,34.06,283.42,96.53,Excellent (30%+),Mid-Market,Mid Range,42.5135
ORD001044,2022-10-11,2022-10-16,West,CA,Los Angeles,Furniture,Chair,Chair Model-2022,845.53,1,0.0,264.74,Corporate,5,2022,10,4,41,Tuesday,2022-10,31.31,845.53,264.74,Excellent (30%+),Mid-Market,Mid Range,0.0
ORD001045,2023-12-27,2024-01-01,West,OR,Portland,Furniture,Desk,Desk Model-2020,1346.48,1,0.15,367.65,Corporate,5,2023,12,4,52,Wednesday,2023-12,27.3,1346.48,367.65,Good (20-30%),Mid-Market,Mid Range,201.972
ORD001046,2022-12-08,2022-12-12,West,CO,Colorado Springs,Technology,Desktop,Desktop Model-2020,3022.63,2,0.0,1013.49,Consumer,4,2022,12,4,49,Thursday,2022-12,33.53,1511.32,506.74,Excellent (30%+),Enterprise,High Value,0.0
ORD001047,2023-07-24,2023-07-28,East,NJ,Newark,Office Supplies,Notebook,Notebook Model-2022,849.62,2,0.1,143.5,Corporate,4,2023,7,3,30,Monday,2023-07,16.89,424.81,71.75,Medium (10-20%),Mid-Market,Mid Range,84.962
ORD001048,2023-08-22,2023-08-28,South,FL,Tampa,Office Supplies,Notebook,Notebook Model-2020,4075.18,2,0.05,625.02,Corporate,6,2023,8,3,34,Tuesday,2023-08,15.34,2037.59,312.51,Medium (10-20%),Enterprise,High Value,203.75900000000001
ORD001049,2022-07-22,2022-07-25,East,CT,New Haven,Furniture,Table,Table Model-2024,4434.26,7,0.0,1521.24,Corporate,3,2022,7,3,29,Friday,2022-07,34.31,633.47,217.32,Excellent (30%+),Enterprise,High Value,0.0
ORD001050,2024-11-27,2024-12-01,East,CT,Hartford,Technology,Printer,Printer Model-2022,506.29,3,0.0,145.1,One-time Buyer,4,2024,11,4,48,Wednesday,2024-11,28.66,168.76,48.37,Good (20-30%),Mid-Market,Low Value,0.0
ORD001051,2024-04-28,2024-05-01,West,OR,Eugene,Furniture,Desk,Desk Model-2023,4785.26,5,0.2,827.05,One-time Buyer,3,2024,4,2,17,Sunday,2024-04,17.28,957.05,165.41,Medium (10-20%),Enterprise,High Value,957.0520000000001
ORD001052,2024-10-25,2024-11-01,North,NY,New York,Office Supplies,Paper,Paper Model-2024,2081.02,5,0.0,453.67,Consumer,7,2024,10,4,43,Friday,2024-10,21.8,416.2,90.73,Good (20-30%),Enterprise,Mid Range,0.0
ORD001053,2024-09-06,2024-09-11,North,OH,Cincinnati,Office Supplies,Clipboard,Clipboard Model-2023,1151.94,7,0.1,345.31,One-time Buyer,5,2024,9,3,36,Friday,2024-09,29.98,164.56,49.33,Good (20-30%),Mid-Market,Mid Range,115.19400000000002
ORD001054,2023-10-17,2023-10-21,East,NJ,Jersey City,Technology,Keyboard,Keyboard Model-2022,6186.04,7,0.0,1856.29,Corporate,4,2023,10,4,42,Tuesday,2023-10,30.01,883.72,265.18,Excellent (30%+),Enterprise,High Value,0.0
ORD001055,2024-10-06,2024-10-13,West,CO,Fort Collins,Furniture,Cabinet,Cabinet Model-2021,2505.88,5,0.15,461.08,Corporate,7,2024,10,4,40,Sunday,2024-10,18.4,501.18,92.22,Medium (10-20%),Enterprise,Mid Range,375.882
ORD001056,2022-04-07,2022-04-12,East,MD,Baltimore,Furniture,Table,Table Model-2020,5260.72,5,0.1,1283.77,Consumer,5,2022,4,2,14,Thursday,2022-04,24.4,1052.14,256.75,Good (20-30%),Enterprise,High Value,526.072
ORD001057,2022-08-03,2022-08-09,East,NJ,Jersey City,Office Supplies,Binder,Binder Model-2024,2494.32,3,0.15,776.89,Corporate,6,2022,8,3,31,Wednesday,2022-08,31.15,831.44,258.96,Excellent (30%+),Enterprise,Mid Range,374.148
ORD001058,2022-02-19,2022-02-24,South,FL,Miami,Furniture,Desk,Desk Model-2022,497.95,2,0.15,170.98,Consumer,5,2022,2,1,7,Saturday,2022-02,34.34,248.98,85.49,Excellent (30%+),SMB,Low Value,74.6925
ORD001059,2022-12-23,2022-12-27,West,WA,Vancouver,Furniture,Table,Table Model-2020,1649.66,7,0.05,452.85,Corporate,4,2022,12,4,51,Friday,2022-12,27.45,235.67,64.69,Good (20-30%),Mid-Market,Mid Range,82.483
ORD001060,2023-03-02,2023-03-09,North,OH,Cleveland,Furniture,Chair,Chair Model-2021,1523.61,2,0.0,422.99,Consumer,7,2023,3,1,9,Thursday,2023-03,27.76,761.8,211.5,Good (20-30%),Mid-Market,Mid Range,0.0
ORD001061,2022-10-25,2022-11-01,North,MA,Springfield,Technology,Monitor,Monitor Model-2023,1051.7,2,0.0,256.48,Consumer,7,2022,10,4,43,Tuesday,2022-10,24.39,525.85,128.24,Good (20-30%),Mid-Market,Mid Range,0.0
ORD001062,2024-06-26,2024-07-03,North,PA,Allentown,Office Supplies,Binder,Binder Model-2022,408.65,3,0.0,105.35,Consumer,7,2024,6,2,26,Wednesday,2024-06,25.78,136.22,35.12,Good (20-30%),SMB,Low Value,0.0
ORD001063,2023-01-26,2023-01-31,East,DE,Dover,Furniture,Desk,Desk Model-2022,200.23,1,0.0,34.0,Consumer,5,2023,1,1,4,Thursday,2023-01,16.98,200.23,34.0,Medium (10-20%),SMB,Low Value,0.0
ORD001064,2022-11-04,2022-11-07,West,CO,Fort Collins,Technology,Keyboard,Keyboard Model-2021,728.22,4,0.0,160.15,Consumer,3,2022,11,4,44,Friday,2022-11,21.99,182.06,40.04,Good (20-30%),Mid-Market,Mid Range,0.0
ORD001065,2023-08-18,2023-08-21,South,FL,Miami,Furniture,Cabinet,Cabinet Model-2023,2782.31,6,0.15,699.64,Corporate,3,2023,8,3,33,Friday,2023-08,25.15,463.72,116.61,Good (20-30%),Enterprise,Mid Range,417.3465
ORD001066,2022-06-04,2022-06-09,North,OH,Cincinnati,Furniture,Cabinet,Cabinet Model-2022,434.5,3,0.0,89.07,Consumer,5,2022,6,2,22,Saturday,2022-06,20.5,144.83,29.69,Good (20-30%),SMB,Low Value,0.0
ORD001067,2024-05-28,2024-06-01,West,OR,Portland,Office Supplies,Notebook,Notebook Model-2020,1298.45,6,0.0,288.21,Corporate,4,2024,5,2,22,Tuesday,2024-05,22.2,216.41,48.04,Good (20-30%),Mid-Market,Mid Range,0.0
ORD001068,2022-03-23,2022-03-28,North,PA,Philadelphia,Technology,Monitor,Monitor Model-2021,2816.61,6,0.05,969.59,Consumer,5,2022,3,1,12,Wednesday,2022-03,34.42,469.44,161.6,Excellent (30%+),Enterprise,Mid Range,140.8305
ORD001069,2024-12-16,2024-12-19,South,GA,Savannah,Furniture,Bookshelf,Bookshelf Model-2022,145.68,1,0.15,22.0,VIP,3,2024,12,4,51,Monday,2024-12,15.1,145.68,22.0,Medium (10-20%),SMB,Low Value,21.852
ORD001070,2024-04-25,2024-04-30,West,CA,Los Angeles,Office Supplies,Binder,Binder Model-2023,1456.14,6,0.0,306.56,VIP,5,2024,4,2,17,Thursday,2024-04,21.05,242.69,51.09,Good (20-30%),Mid-Market,Mid Range,0.0
ORD001071,2022-08-06,2022-08-13,East,DE,Dover,Technology,Keyboard,Keyboard Model-2024,9005.19,7,0.0,2402.5,Consumer,7,2022,8,3,31,Saturday,2022-08,26.68,1286.46,343.21,Good (20-30%),Enterprise,High Value,0.0
ORD001072,2022-01-07,2022-01-11,East,CT,Bridgeport,Furniture,Chair,Chair Model-2022,1394.41,2,0.0,286.96,Corporate,4,2022,1,1,1,Friday,2022-01,20.58,697.2,143.48,Good (20-30%),Mid-Market,Mid Range,0.0
ORD001073,2024-06-11,2024-06-15,North,NY,New York,Office Supplies,Notebook,Notebook Model-2023,1982.94,7,0.0,565.72,Consumer,4,2024,6,2,24,Tuesday,2024-06,28.53,283.28,80.82,Good (20-30%),Mid-Market,Mid Range,0.0
ORD001074,2024-02-14,2024-02-20,North,PA,Philadelphia,Furniture,Table,Table Model-2021,2183.54,2,0.05,458.23,VIP,6,2024,2,1,7,Wednesday,2024-02,20.99,1091.77,229.12,Good (20-30%),Enterprise,Mid Range,109.177
ORD001075,2024-03-09,2024-03-14,West,WA,Tacoma,Furniture,Bookshelf,Bookshelf Model-2023,1159.15,5,0.05,321.83,Corporate,5,2024,3,1,10,Saturday,2024-03,27.76,231.83,64.37,Good (20-30%),Mid-Market,Mid Range,57.95750000000001
ORD001076,2024-04-24,2024-05-01,South,GA,Columbus,Technology,Desktop,Desktop Model-2023,2451.07,5,0.1,784.28,Consumer,7,2024,4,2,17,Wednesday,2024-04,32.0,490.21,156.86,Excellent (30%+),Enterprise,Mid Range,245.10700000000003
ORD001077,2022-03-23,2022-03-28,North,MA,Worcester,Office Supplies,Notebook,Notebook Model-2021,1682.1,6,0.15,473.9,Consumer,5,2022,3,1,12,Wednesday,2022-03,28.17,280.35,78.98,Good (20-30%),Mid-Market,Mid Range,252.31499999999997
ORD001078,2023-01-28,2023-02-03,West,WA,Vancouver,Technology,Printer,Printer Model-2024,677.84,1,0.15,108.44,Consumer,6,2023,1,1,4,Saturday,2023-01,16.0,677.84,108.44,Medium (10-20%),Mid-Market,Low Value,101.676
ORD001079,2022-05-07,2022-05-13,South,GA,Columbus,Furniture,Cabinet,Cabinet Model-2020,1262.66,4,0.05,390.22,Corporate,6,2022,5,2,18,Saturday,2022-05,30.9,315.67,97.56,Excellent (30%+),Mid-Market,Mid Range,63.13300000000001
ORD001080,2024-08-03,2024-08-08,North,PA,Philadelphia,Office Supplies,Paper,Paper Model-2024,1458.5,6,0.0,280.85,Corporate,5,2024,8,3,31,Saturday,2024-08,19.26,243.08,46.81,Medium (10-20%),Mid-Market,Mid Range,0.0
ORD001081,2023-11-14,2023-11-19,North,NY,Buffalo,Furniture,Chair,Chair Model-2020,3407.22,6,0.0,943.66,Corporate,5,2023,11,4,46,Tuesday,2023-11,27.7,567.87,157.28,Good (20-30%),Enterprise,High Value,0.0
ORD001082,2022-12-29,2023-01-03,West,OR,Eugene,Furniture,Bookshelf,Bookshelf Model-2020,744.72,1,0.05,208.04,Corporate,5,2022,12,4,52,Thursday,2022-12,27.94,744.72,208.04,Good (20-30%),Mid-Market,Mid Range,37.236000000000004
ORD001083,2022-03-11,2022-03-14,North,MA,Boston,Furniture,Table,Table Model-2020,411.68,1,0.15,127.93,Consumer,3,2022,3,1,10,Friday,2022-03,31.08,411.68,127.93,Excellent (30%+),SMB,Low Value,61.751999999999995
ORD001084,2022-12-07,2022-12-13,East,MD,Gaithersburg,Office Supplies,Notebook,Notebook Model-2022,4160.42,6,0.05,1044.95,Consumer,6,2022,12,4,49,Wednesday,2022-12,25.12,693.4,174.16,Good (20-30%),Enterprise,High Value,208.02100000000002
ORD001085,2022-12-23,2022-12-27,South,TX,Dallas,Furniture,Desk,Desk Model-2024,2225.92,7,0.15,501.26,Consumer,4,2022,12,4,51,Friday,2022-12,22.52,317.99,71.61,Good (20-30%),Enterprise,Mid Range,333.888
ORD001086,2024-03-09,2024-03-12,South,FL,Orlando,Office Supplies,Pen,Pen Model-2023,6254.23,7,0.0,1586.11,One-time Buyer,3,2024,3,1,10,Saturday,2024-03,25.36,893.46,226.59,Good (20-30%),Enterprise,High Value,0.0
ORD001087,2023-11-30,2023-12-07,East,CT,Hartford,Furniture,Cabinet,Cabinet Model-2022,2159.07,4,0.0,559.53,Consumer,7,2023,11,4,48,Thursday,2023-11,25.92,539.77,139.88,Good (20-30%),Enterprise,Mid Range,0.0
ORD001088,2024-08-29,2024-09-02,West,CO,Fort Collins,Technology,Mouse,Mouse Model-2021,188.31,1,0.1,59.19,Corporate,4,2024,8,3,35,Thursday,2024-08,31.43,188.31,59.19,Excellent (30%+),SMB,Low Value,18.831
ORD001089,2023-06-02,2023-06-06,East,DE,Wilmington,Office Supplies,Binder,Binder Model-2021,1026.01,1,0.15,195.98,Consumer,4,2023,6,2,22,Friday,2023-06,19.1,1026.01,195.98,Medium (10-20%),Mid-Market,Mid Range,153.9015
ORD001090,2022-05-11,2022-05-15,East,CT,Hartford,Furniture,Chair,Chair Model-2020,3019.39,3,0.0,964.29,Consumer,4,2022,5,2,19,Wednesday,2022-05,31.94,1006.46,321.43,Excellent (30%+),Enterprise,High Value,0.0
ORD001091,2024-02-21,2024-02-27,South,NC,Greensboro,Technology,Monitor,Monitor Model-2022,12326.3,7,0.0,2750.51,Corporate,6,2024,2,1,8,Wednesday,2024-02,22.31,1760.9,392.93,Good (20-30%),Enterprise,High Value,0.0
ORD001092,2024-04-13,2024-04-20,West,CO,Denver,Office Supplies,Notebook,Notebook Model-2022,2083.33,4,0.0,622.44,Corporate,7,2024,4,2,15,Saturday,2024-04,29.88,520.83,155.61,Good (20-30%),Enterprise,Mid Range,0.0
ORD001093,2023-09-07,2023-09-10,North,PA,Allentown,Technology,Keyboard,Keyboard Model-2021,1326.21,2,0.0,287.98,Corporate,3,2023,9,3,36,Thursday,2023-09,21.71,663.1,143.99,Good (20-30%),Mid-Market,Mid Range,0.0
ORD001094,2024-04-24,2024-05-01,East,MD,Gaithersburg,Furniture,Chair,Chair Model-2023,5480.03,5,0.0,1598.95,Corporate,7,2024,4,2,17,Wednesday,2024-04,29.18,1096.01,319.79,Good (20-30%),Enterprise,High Value,0.0
ORD001095,2023-06-25,2023-06-28,East,MD,Baltimore,Technology,Keyboard,Keyboard Model-2024,254.02,2,0.0,78.7,Corporate,3,2023,6,2,25,Sunday,2023-06,30.98,127.01,39.35,Excellent (30%+),SMB,Low Value,0.0
ORD001096,2023-07-27,2023-08-02,West,CO,Denver,Furniture,Table,Table Model-2024,7898.24,6,0.0,2066.28,Consumer,6,2023,7,3,30,Thursday,2023-07,26.16,1316.37,344.38,Good (20-30%),Enterprise,High Value,0.0
ORD001097,2023-04-14,2023-04-21,East,MD,Frederick,Furniture,Desk,Desk Model-2020,1807.07,7,0.0,494.97,Corporate,7,2023,4,2,15,Friday,2023-04,27.39,258.15,70.71,Good (20-30%),Mid-Market,Mid Range,0.0
ORD001098,2022-01-28,2022-02-01,West,CO,Colorado Springs,Office Supplies,Pen,Pen Model-2020,258.74,2,0.0,75.44,Corporate,4,2022,1,1,4,Friday,2022-01,29.16,129.37,37.72,Good (20-30%),SMB,Low Value,0.0
ORD001099,2022-04-29,2022-05-06,North,OH,Cleveland,Furniture,Table,Table Model-2020,1119.32,5,0.05,322.01,Consumer,7,2022,4,2,17,Friday,2022-04,28.77,223.86,64.4,Good (20-30%),Mid-Market,Mid Range,55.966
ORD001100,2022-02-04,2022-02-10,West,WA,Vancouver,Furniture,Desk,Desk Model-2021,2571.55,5,0.05,759.85,Corporate,6,2022,2,1,5,Friday,2022-02,29.55,514.31,151.97,Good (20-30%),Enterprise,Mid Range,128.57750000000001
ORD001101,2023-11-28,2023-12-04,North,NY,Albany,Office Supplies,Binder,Binder Model-2021,124.51,1,0.0,39.84,Consumer,6,2023,11,4,48,Tuesday,2023-11,32.0,124.51,39.84,Excellent (30%+),SMB,Low Value,0.0
ORD001102,2022-12-11,2022-12-17,West,OR,Salem,Office Supplies,Notebook,Notebook Model-2024,401.53,4,0.0,77.94,Consumer,6,2022,12,4,49,Sunday,2022-12,19.41,100.38,19.48,Medium (10-20%),SMB,Low Value,0.0
ORD001103,2023-07-11,2023-07-14,East,NJ,Newark,Furniture,Table,Table Model-2020,3659.65,6,0.0,706.12,Corporate,3,2023,7,3,28,Tuesday,2023-07,19.29,609.94,117.69,Medium (10-20%),Enterprise,High Value,0.0
ORD001104,2024-09-20,2024-09-27,North,PA,Allentown,Furniture,Bookshelf,Bookshelf Model-2022,2412.04,6,0.0,830.07,One-time Buyer,7,2024,9,3,38,Friday,2024-09,34.41,402.01,138.34,Excellent (30%+),Enterprise,Mid Range,0.0
ORD001105,2022-09-30,2022-10-04,East,NJ,Jersey City,Office Supplies,Paper,Paper Model-2023,5150.05,5,0.0,1649.38,One-time Buyer,4,2022,9,3,39,Friday,2022-09,32.03,1030.01,329.88,Excellent (30%+),Enterprise,High Value,0.0
